QUEUE/ Request;Concern;ACTION;Email Address;Case Assignment/Email;
Rerate Request;"When customer or Sales Rep is requesting to rerate a set of pros(atleast 11 pros or higher) on a particular date to apply pricing.

For Pricing Agents, if you created an EPRT or CHT ticket to resolve the pricing issue of a customers account, advise the Sales Rep to submit a Backdate Rerate Request in order to adjust the pros by rerating them based on the completion date of the EPRT or CHT Ticket.

If you are talking to the customer, clone the case and move the cloned case to Backdate Rerate. Leave an internal comment asking to rerate the pros on the effective date of the EPRT or CHT Ticket.";Move the Case;;"Case Owner: WRO-HRO BackDates
Case Origin: WRO-HRO BackDates
Sub Queue: None

For SRC, move it to LTL Freight Rerate Sub Category";
PPP;"• When a spreadsheet/email contains multiple PROs with different issues that require assistance from Pricing, Invoice Reprint, Account processing, Cash Research, etc.
• Subject shows ""AutoProc Exports Delivery"".  ATTENTION: Check the email locate the Client ID. 
- If it doesn't show 3M, open the attachment to verify the request. 
- If requests should be handled by different subqueue like Billing Dispute, Pricing, Invoice Reprint, move to PPP. 
- If all requests should be handled ONLY by 1 group, move it to the appropriate queue. ";Move the case;;"Case Owner: WRO Main Invoicing
Case Origin: WRO Main Invoicing
Sub Queue: PPP";
"Aging
Effective 10.14.2025";• Request for Aging or Statement of Acct - for invoicing or audit purposes;Move the case;"1.  Do NOT send aging reports to APEX or PRGX
2. Do NOT send requests for reccurring reports of any kind. ";"Case Owner: WRO Main Invoicing
Case Origin: WRO Main Invoicing
Sub Queue: Invoice Reprint


*Warm transfer is needed when moving the case to Invoice Reprint except if the case is from Preprocessing and PPP

No Need to do a Warm Transfer if the movement is within the same Queue.
Example: BD to BD, Pricing to Pricing
";
Consignee 999;"Subject: WRO Main Invoicing - 999 account Updates

Please review the address below for Consignee 999 account purposes";Move the Case ;;"Case Owner: WRO Main Invoicing
Case Origin: WRO Main Invoicing
Sub Queue: 999 Account Update";
Invoice Reprint;"NOTE: NO NEED TO CONFIRM IF PROS ARE BILLING CORRECTLY OR NOT. IF THE REQUEST CLEARLY STATES INVOICE REQUEST, MOVE TO INVOICE REPRINT

• All document Requests from customers except Special Accounts. This should be handled by Special Accounts Sub queue

•  All Document Requests for SPOC Customers (Sealed Air, Echo, Uline, Grainger/Zoro, UBER/Transplace, Berry Global)

• Copies of Invoices and/or Invoices w/ Backup Docs (except for A0 Detention and they are requesting for backup documents of the XREF PROs. Billing Dispute agents should request this. Follow Missing Documents R0 to A0 docs request)

• 210 (EDI) redrops (except REWE cert)

• Request for Manifest Statement

• 2nd, 3rd Multiple request for invoice copies/backup documents.  Review the original case. 
If customer is requesting for REWE cert/Inspection cert and shipment has been  REWE/Inspected, confirm the document is on file.

• Request is ONLY copies of bill of lading and/or delivery receipt - with NO disputes

DUPLICATE REPRINT CASES: Please notify our clients when there are duplicate cases for invoice reprints and the original case is closed as completed.

• Document Request for Missing Documents and Age of Invoice is already more than 90 days.";Move the case;;"Case Owner: WRO Main Invoicing
Case Origin: WRO Main Invoicing
Sub Queue: Invoice Reprint


*Warm transfer is needed when moving the case to Invoice Reprint except if the case is from Preprocessing and PPP

No Need to do a Warm Transfer if the movement is within the same Queue.
Example: BD to BD, Pricing to Pricing
";
Invoicing Setup (Account Maintenance not PRO);"Both Address change & Email Invoicing - should be assigned to Account Processing first to do any account cleanup. 
• Email Invoicing - Request to move from paper invoicing to Email invoices.  (account #) is needed before moving to subque
• Adding/Updating email address that receives invoices
• Link account (link/unlink ABT)
• Invoice Print Group change...MUST  have acc# Statement # shipment number to reference to pull account in system   
• Currency change (NON--EDI) - (US to Canadian funds or vice versa)
• Customer not receiving invoices
• Invoicing Delay questions (NON-EDI) - excluding EDI as these go to EDI-InvandRemit@fedex.com
• Question about consolidated billing
• Invoice cycle or frequency (daily to weekly or vice versa)
• If subject says: Active Wizard Form xxxxxxxxx  Express Freight Shipping Error
• If subject line says “Express Freight Shipping Error” ";Move the case;;"Case Owner: WRO Main Invoicing
Case Origin: WRO Main Invoicing
Sub Queue: Account Processing
";
Account Update;"• Add/update/remove alias name or address, add/update/remove CAC, currency change (Non-EDI),/delete/ reactivate/unarchive account, update email invoicing, contact updates, buyouts or acquisitions
• NON-EDI Account Update (address change, not receiving invoices 
• All Archive/Unarchived Account Request
Both Address change and Email Invoicing - should be assigned to Account Processing first to do any account cleanup. 
• This doesn't include Pricing issue on Account. Pricing issue should be moved to Pricing 10 Pros or less";Move the case;;"Case Owner: WRO Main Invoicing
Case Origin: WRO Main Invoicing
Sub Queue: Account Processing
";
EDI Account Concern/ Update;"• EDI set up for 210 (EDI Invoices), 820 (Remittance)
• EDI Account Concern
- EDI-Address update
- EDI-Currency Updates (US to CA funds or vice versa)
- EDI- Invoicing Delay question
• EDI Invoice Issue/210 Failed/Rejected EDI invoices that cannot be resolved using regular process e.g. missing SI qualifier information in N9 segment, OR This means that the location code we received in your EDI file (shown in the LocNo column) was incorrect.""210 invoices failed due to missing “LADING QUANTITY” and ""PACKAGING FORM CODE"" in L0 segment Error
Home Depot CIM 864 Report

Request to add GL (stands for general location)/Plant Codes/store #";Reply to the customer and closed the case as Denied;EDI-InvandRemit@fedex.com;"Hello,
Thank you for contacting us regarding your FedEx Freight account.  However, we do not handle EDI Account Updates. Please send a new and fresh email to EDI-invandremit@fedex.com. Do not copy or forward this email so it will be properly routed to the EDI team.

You will receive an email from EDI-invandremit@fedex.com when your request has been completed or if more information is required to process your request.

For future inquiries similar to this and to streamline Salesforce cases and to properly document all requests submitted, going forward, please send your concern to EDI-invandremit@fedex.com.
 
Thank you for shipping with FedEx and we hope you have a great day.

EBS Operations - Invoicing Solutions";
Other EDI Account Requests;"EDI for:
• 204 (Pick-up Requests)
• 211 (Bill of Lading)
• 212 (Manifest)
• 214 (Shipment Status) e.g. The required customer duns number is invalid/missing from the file.
• 997 (Acknowledgement)
• 404 (Rail BOL) 
";"Forward the case by doing a Warm Transfer
(copy in the customer & close the case as denied with reason/comment ""forwarded to edihelp@fedex.com)";edihelp@fedex.com;"Hello,
Thank you for contacting us regarding your FedEx Freight account.  However, we do not handle EDI Account Updates. Please send a new and fresh email to edihelp@fedex.com. Do not copy or forward this email so it will be properly routed to the EDI team.

You will receive an email from edihelp@fedex.com when your request has been completed or if more information is required to process your request.

For future inquiries similar to this and to streamline Salesforce cases and to properly document all requests submitted, going forward, please send your conern to edihelp@fedex.com.
 
Thank you for shipping with FedEx and we hope you have a great day.

EBS Operations - Invoicing Solutions";
Overcharge Claim;"• Overcharge claim - customer paid the invoice but a correction is needed which could results in credit balance.
• Customer attached a claim form and the amount is already paid and closed
• Customer is requesting a follow up regarding the status of an Overcharge Claim
• Pro has an OVC pop up restriction









Do not move the case if the disputed invoice is not yet paid and closed. ";Move the case;ovcclaim@fedex.com;"Case Owner: WRO-HRO Overcharge Claim
Case Origin: WRO HRO Overcharge Claim
Sub Queue: OVC Prep";
"
Overage (got delivered some product that was not theirs | Damage Claims | Lost Shipment | Cargo claim";"• Overage (got delivered some product that was not theirs
• Freight was lost during transit or was never delivered or was damaged and customer requests to credit/refund the transportation cost since they have already paid
• Make sure documents are available to support the refused/damaged shipment. DO NOT direct customers to send files to file.freightclaim@fedex.com. That email is specifically for FXF documents not customer's documents.  All  documents must be uploaded via .com.
• Check Shipment History if a Claim was already processed. You may provide this claim number when forwarding to the claims department or when responding to the customer when you want them to ask for update from claims dept
• Freight was damaged and was returned back to the Shipper as FREE ASTRAY (this means free of charge) - and document provides

Please notate that a customer can file a claim for the product itself (what they are talking about in the below) as well as for the freight charges. Both need to be mentioned in the email to claims in order to have a claim started.

NOTE: Please ensure that PRO# is given before forwarding to file.claim.

For returned shipments due to loss/damage/shortage and customer states they have exception that it will be free astray/no charge, move the case to Pricing Small(10 pros or less). They should check the customers agreement to confirm exception and see if Pros can be sent to VOID Queue.";"Forward the case 
(copy in the customer & close the case as denied)
Close the case as denied with comment sent to file.freightclaim  
or

Reply to the customer
(close the case with comment advised to email file.freightclaim) 

NOTE:
If customer claims that they already sent an email to file.freightclaim@fedex.com but didn't get any response, send it to the TRAINING TEAM who will forward to BARBARA LAWS

(do not copy the customer or file.freightclaim@fedex.com when sending to Barbara)";"file.freightclaim@fedex.com
800-308-3963";"[Enter Standard Greeting - Good morning, Good afternoon, Greetings, Hello,]. Did you know that you have the option to file your claims online? Please submit your Claim for lost or damaged packages using the FedEx Online Portal on the FedEx.com website. FedEx Claims Online allows you to file an Express, Ground or Freight claim for any US domestic shipment.  

To File a FedEx Freight Claim or Check Claim Status Online:
Visit www.fedex.com and follow the steps below:
1.	Click on the “Support” drop down menu then select “File a Claim”  
2.	Next, Click Log in to FedEx Freight  
a.	This option also allows you to check the status of your FedEx Freight Claim
3.	For Claims filed through FedEx Freight “My Account”, any supporting documentation needs to be emailed  to file.freightclaim@fedex.com. Please be sure to include the tracking number(s) or Claim Number(s) and we will forward supporting documentation to the assigned agent.
 
You can also complete the Claim Form by clicking File FedEx Claim. Email completed form to File.freightclaim@fedex.com along with any supporting documentation. 

Thank you for choosing FedEx,
EBS Operations - Invoicing Solutions
";
Claims Documents;• When a customer wants to provide additional documentations to support their freight claims;;;"Direct the customer to follow these steps:
• Customer may either google fedex.com/claims and click the first link,
or
enter the URL, https://www.fedex.com/en-us/customer-support/claims.html
• Customer selects “Add to a claim” at the top of the page, then selects “ADD TO CLAIM”.
• Once “ADD TO CLAIM” is selected, the customer will be prompted to enter the Tracking/PRO number and ship date, and should either drag documents or browse for the documents to be uploaded.";
"Money-Back Guarantee (MBG)

GAMD, GTE, CDW";"Customer disputing the following charges:

GAMD (A.M. Delivery),
GTE (Close of Business Delivery), &
CDW (Customer Delivery Window) Appeals";Move the case;expeditedrefund@fedex.com;"Case Owner: FXF Guaranteed Service Dispute
Case Origin: FXF Guaranteed Service Dispute
Sub Queue: None
DO NOT SEND A WARM TRANSFER TO THE CUSTOMER BUT MAKE SURE TO PUT COMPLETE INTERNAL COMMENT WHEN MOVING THE CASE";
Refund / Misapplied or Missing Payment / Apply or Transfer Funds or Credits;"• Request a refund
• Apply a credit, transfer credit from a PRO to another PRO
• Misapplied/Missing Payments (past 7 days)
  -Advise to email arcoa@fedex.com for updates
  -DO NOT Forward the case to arcoa@fedex.com copying the customer
  -If customer responded to the same email but already addressed to arcoa@fedex.com, 
    Move case Cash Research
• Copy of remittance for paid invoices
• Credit Memo - If PRO is paid and close and customer requests a Credit Memo
• Customer claims that they already paid a specific pro and disputing why it is still showing as unpaid(open) on their end.

For OVC Queue - Even if the email is addressed to arcoa@fedex.com, If the disputes is workable under OVC, do not assign to Cash Research
For Absorbed Payments - (CVMTOINC) for processed claims";"
MOVE the case to WRO Cash Research
(Make sure to move the Parent Case)

For Cases involving Multiple Disputes/Request and one needs ot be moved to Cash Research, follow the SOP for Cash Research Related Dispute Job Aid";arcoa@fedex.com;"Case Owner: WRO Cash Research
Case Origin: WRO Cash Research
Case: None";
Credit Card Payment;• Credit card payments (Phone calls only);Reply to the customer then close the case as denied;(866) 756-3590 Opt. 2 ;"Hi,
Please call credit services at 866-756-3590, option 2, to pay your invoices over the phone or mail in a check to the remittance address on the bottom of your invoice.
Thank you,
EBS Operation - Invoicing Solution";
Credit Hold;Customer wants to remove account from credit hold;Reply to the customer then close the case as denied;(866) 756-3590;"Hi,

In order for the credit to be reviewed for your account, please call our Credit Services Dept at 866-756-3590 opt 4 to speak to an agent.   Hours of operation are 7 AM to 5 PM CST

Thank you,
EBS Operation - Invoicing Solution";
ACH/EFT (Electronic Funds Transfer)/Wire Payments;"If customer wants to send FedEx Freight ACH/EFT (Electronic Funds Transfer) or wire payments or requests for Remittance/ACH information or our bank information so they can make payment.

When customer requests for Remittance information such as the following:
• AR Contact's Name:
• AR Dept. Phone Number:
• AR Dept. Email Address:
• Payment Remit Address:
• Corporate Address:";"Reply to the customer then close the case as denied

W9 - Download and attach a copy in your reply

";;"[Enter Standard Greeting - Good morning, Good afternoon, Greetings, Hello,]. Thank you for reaching out with your invoicing question.  

1. For W9 Forms, Click W9 Form Link and new screen will appear. Click FedEx Freight, Inc. Drop-Down Menu and Select the Appropriate FedEx Freight W-9 Link listing your State – form will open based on your location 

2. For ACH or EFT Setup, Go to fedex.com/forms 
3. Under ACH or EFT Setup, Click PAYMENT SETUP 
4. New Screen Will Appear > Using the Drop-Down Menu, Under Request Type, Select:  
Freight (FXF/LTL) ACH/EFT Requests 
5. New Screen Will Appear and based on your Selections, Additional Information Will Appear 
 A. Using the Drop-Down Menu, Under How do you receive your invoices?* Select how your company currently receives invoices: 
 B. Paper Invoice or Freight Billing Online or Freight EDI
 - Using the Drop-Down Menu, Under Are you a U.S. or Canadian Payor?* Select one: U.S. or Canada – if Selected, Move to Step 9 
 C. Based on your U.S. Selections, the Applicable Forms will be available: 
 - Paper Invoice or Freight Billing Online U.S.  – Click Form Link for U.S. EFT Freight Paper Letter 
 - Freight EDI U.S. – Click Form Link for U.S. EDI EFT Letter 

For Canada Customers or U.S. customers needing additional information, Using the Drop-Down Menu, Under Do you need additional information?* Select one: 
 - Require W8/W9 
 - Require bank verification letter 
 - Require ACH/EFT form completed 

Would like to process with CTX bank remittance file 

My question is not listed above – when selected, pop up will appear to enter your company, contact information, and information / assistance required 

Please follow the instructions on the downloaded documents. Going forward, please submit your new requests in a new email without reference to previous cases.  We also ask that you include critical information within the email such as company name, Freight account number, company mailing address and shipping address along with any other relevant information.  This will assist us in providing a faster response time to your concern and reduce the need for further clarification. 

Thank you for choosing FedEx, 
EBS Operations - Invoicing Solutions ";
W8/W-8 or W9/W-9 Form;"Customer asks for W8 or W9 (usually when trying to pay invoices)

W8 - CA
W9 - US

You may also provide the below link to the customer to download W9 Form.

• http://www.fedex.com/us/about/tax/w9.html

If customer is asking to fill out form - Move the PARENT CASE to Cash Research 
(Ask for approval from the Training Team/SME)";"Download, attach a copy and reply to the customer 

*Certificates are also saved in the Training Materials folder ";;;
Mail Payment/ Remittance Processing;"• Customer wants to make payment and asking for remittance/mailing address

With Customer’s payment, Customer must furnish the pro numbers to which Customer’s payment applies. Payment should be sent using Customer’s
remittance advice to one of the following";"Customers who receive their invoices via EDI and remit their payments via paper check should mail payment according to: The state assignment listed above.
Note: Customers using an EDI format for invoicing are required to submit remittance data electronically. Some invoice adjustment requests may also be transmitted electronically";;;
Mail Payment/ Remittance Processing;"• Customer wants to make payment and asking for remittance/mailing address

With Customer’s payment, Customer must furnish the pro numbers to which Customer’s payment applies. Payment should be sent using Customer’s
remittance advice to one of the following";"IF A CUSTOMER IS PAYING A FXF U.S. BILLED INVOICE 
AND THE PAYMENT IS RECEIVED BY:";;THEN REMIT TO:;
Mail Payment/ Remittance Processing;"• Customer wants to make payment and asking for remittance/mailing address

With Customer’s payment, Customer must furnish the pro numbers to which Customer’s payment applies. Payment should be sent using Customer’s
remittance advice to one of the following";FedEx®  Envelope from any state;;"FedEx Freight Lockbox 223125
500 Ross Street
Room 154-0455
Pittsburgh, PA 15262";
Mail Payment/ Remittance Processing;"• Customer wants to make payment and asking for remittance/mailing address

With Customer’s payment, Customer must furnish the pro numbers to which Customer’s payment applies. Payment should be sent using Customer’s
remittance advice to one of the following";"U.S. Postal Service and who is not using electronic data interchange (EDI) and whose billing address is in:
CT, DC, DE, KY, MA, MD, ME, MI, NC, NH, NJ, NY, OH, PA, PR, RI, SC, VA,VT, or WV";;"FedEx Freight
P.O. Box 223125
Pittsburgh, PA 15251-2125";
Mail Payment/ Remittance Processing;"• Customer wants to make payment and asking for remittance/mailing address

With Customer’s payment, Customer must furnish the pro numbers to which Customer’s payment applies. Payment should be sent using Customer’s
remittance advice to one of the following";"U.S. Postal Service and who is not using electronic data interchange (EDI) and whose billing address is in:
AK, AL, AR, CO, FL, GA, IA, ID, IL, IN, KS, LA, MN, MO, MS, MT, ND, NE, NM, OK, SD, TN, TX, WA, WI, or WY";;"FedEx Freight
Dept CH
P.O. Box 10306
Palatine, IL 60055-0306";
Mail Payment/ Remittance Processing;"• Customer wants to make payment and asking for remittance/mailing address

With Customer’s payment, Customer must furnish the pro numbers to which Customer’s payment applies. Payment should be sent using Customer’s
remittance advice to one of the following";"U.S. Postal Service and who is not using electronic data interchange (EDI) and whose billing address is in:
AZ, CA, HI, NV, OR, or UT";;"FedEx Freight
Dept LA
P.O. Box 21415
Pasadena, CA 91185-1415";
Remittance Details;• Customer sent remittance details - these are payments they made so they are just sending or reporting that they made payments;"No further actions needed. Close the case with reason ""Payment Status""";;;
Credit Card Research/ Auto Credit Card;"Customer requests: FREIGHT
• Set up with credit card payments 
• Wanting to make a credit card payment
• Inquiring about charge to credit card processed by Freight

FREIGHT Credit Card Auto Pay/Pre-authorized Payment concerns
• Enroll credit card to auto pay
• Update credit card
• Credit card removal
• Schedule automatic payment";Move the case;freightautocc@fedex.com;"Case Owner: WRO-HRO Credit Card Payments
Case Origin: WRO-HRO Credit Card Payments
Sub Queue: Credit Card Research

***Change the origin first and then change the owner";
Reweigh;"• If shipment has REWE keyword and only when reweighed weight is being disputed. 
• If no REWE keyword but with reweigh cert and disputing the weight
• If no REWE keyword and/or no reweigh cert and disputing the weight > move to Billing Disputes
•  Reweigh Certificate Request - (even weight is not disputed) If initial request - Move to Invoice Reprint

- With REWE keyword, no ADIM keyword but PRO beyond 60 days, and NO REWE CERT, in the meantime, Reweigh team will update weight per BOL using NDOCO
- With REWE keyword but with ADIM keyword, move to Freight Research > Freight Research > Inspection Review

•  Class update per reweigh (Move the case to Billing Disputes and add ""CRU"" at the beginning of the subject line)

SPECIAL ACCOUNTS - if there's a reweigh dispute from the following customers, move the case to Reweigh Review. Do not assign them to the their Respective Agents";Move the case;reweighreviews@fedex.com;"Case Owner: WRO HRO Reweigh Research
Case Origin: WRO HRO Reweigh Research
Sub Queue: Reweigh Review";
